uid	name	regulation	correct.pred	incorrect.pred	score	total.reachable	significant.reachable	total.ambiguous	significant.ambiguous	unknow	quaternary.pval	ternary.pval	enrichment.pval	quaternary.qval	ternary.qval	enrichment.qval
2011	STAR	down	1	1	0	18	2	8	0	7790	0.910301389440193	0.901315292350741	0.0205353398134557	0.99388601563735	0.999601681782417	0.442073216203531
2012	DNAJC5B	up	0	0	0	16	0	0	0	7792	0.84857251994634	0.84857251994634	1	0.993444173480295	0.999576934906131	0.928721313574718
2012	DNAJC5B	down	0	0	0	16	0	0	0	7792	0.974069869871416	0.974069869871416	1	0.994283985996089	0.999631421735711	0.928721313574718
2013	CRH	up	0	0	0	29	0	8	0	7779	0.970802811147039	0.967787938729317	1	0.99426486012209	0.999629030174247	0.928721313574718
2013	CRH	down	0	0	0	29	0	8	0	7779	0.824165302284826	0.807590427128658	1	0.993251336395076	0.999555475531235	0.928721313574718
2014	PRDM14	up	0	0	0	10	0	3	0	7798	0.987898356226767	0.987438357657877	0.999999999996135	0.994363547111246	0.999636409938222	0.928721313574462
2014	PRDM14	down	0	0	0	10	0	3	0	7798	0.932026914013804	0.929510066134021	0.999999999996135	0.994027681307427	0.999613759278696	0.928721313574462
2016	PSKH2	up	0	0	0	19	0	0	0	7789	0.970223317656333	0.970223317656333	1	0.994261454303813	0.999629961009208	0.928721313574718
2016	PSKH2	down	0	0	0	19	0	0	0	7789	0.823751665900192	0.823751665900192	1	0.993247970520763	0.999564192885639	0.928721313574718
2018	ZNF16	up	0	0	0	7	0	1	0	7801	0.989246944329075	0.989112285060652	1	0.994371187738614	0.999637025037702	0.928721313574718
2018	ZNF16	down	0	0	0	7	0	1	0	7801	0.939907462657735	0.939170987277604	1	0.994077458976573	0.99961773088215	0.928721313574718
2019	PLIN2	up	0	0	0	18	0	2	0	7790	0.974696329621732	0.974064350291864	1	0.994287638823614	0.999631419647916	0.928721313574718
2019	PLIN2	down	0	0	0	18	0	2	0	7790	0.85199890605106	0.848537660568731	1	0.993470366141953	0.999576917533247	0.928721313574718
2020	CDKN2B	up	1	1	0	37	2	11	0	7771	0.930836922664528	0.921130636620208	0.0768547467077531	0.994020091891757	0.999610247056494	0.56381854936466
2020	CDKN2B	down	1	1	0	37	2	11	0	7771	0.838300512082401	0.816991578523762	0.0768547467077531	0.993364375546635	0.99956058844258	0.56381854936466
2021	IFNK	up	0	0	0	40	0	0	0	7768	0.950203147467529	0.950203147467529	1	0.994141255196762	0.99962216747104	0.928721313574718
2021	IFNK	down	0	0	0	40	0	0	0	7768	0.675418104504187	0.675418104504187	1	0.991777300565584	0.999468532931708	0.928721313574718
2022	NTRK2	up	2	0	2	50	2	2	0	7758	0.0907335062679693	0.0836094414893366	0.1276942635097	0.941870517306535	0.995722765651754	0.624594277516505
2022	NTRK2	down	0	2	-2	50	2	2	0	7758	0.987549720049633	0.987269229357871	0.1276942635097	0.994361568485332	0.99963634767455	0.624594277516505
2024	ZNF462	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
